quarter, time, brightness, error
1.0,  54964.5, 1.0074315288069242, 4.663980926339936e-05 
1.0,  54964.520434, 1.0073141928892784, 4.6498894098798966e-05 
1.0,  54964.540869, 1.007219196172487, 4.661618592591684e-05 
1.0,  54964.561303, 1.007286801648757, 4.653992768352636e-05 
1.0,  54964.581737, 1.0072883264461838, 4.659285836239301e-05 
1.0,  54964.602172, 1.0073761584521748, 4.677829577474896e-05 
1.0,  54964.622606, 1.0073090122522381, 4.66485887897878e-05 
1.0,  54964.643041, 1.0072244870358473, 4.6701190626799765e-05 
1.0,  54964.663475, 1.0072737398298364, 4.6691902222233966e-05 
1.0,  54964.68391, 1.007370500167748, 4.6794859116435124e-05 
1.0,  54964.704344, 1.0076351719331345, 4.657230299081731e-05 
1.0,  54964.724777999996, 1.0078217667218505, 4.670381033900523e-05 
1.0,  54964.745213, 1.0078939465904009, 4.6808920320657156e-05 
1.0,  54964.765647, 1.0077863657020754, 4.6770872032096585e-05 
1.0,  54964.786082, 1.007900064151161, 4.6324470132916896e-05 
1.0,  54964.806516, 1.0078050674343697, 4.666179390292446e-05 
1.0,  54964.826951, 1.0077372231344064, 4.667040808983289e-05 
1.0,  54964.847385, 1.0077689683145679, 4.678739863167608e-05 
1.0,  54964.867819, 1.0077017118883111, 4.683940157234935e-05 
1.0,  54964.888254, 1.0077195869232054, 4.6864542358837275e-05 
1.0,  54964.908688, 1.0075685033805846, 4.677588365544617e-05 
1.0,  54964.929123, 1.0075455763060233, 4.681718362044691e-05 
1.0,  54964.949557, 1.0073440458509466, 4.682954366513019e-05 
1.0,  54964.969992, 1.0070118972066633, 4.6818991332095e-05 
1.0,  54964.990426, 1.006819901328267, 4.683721174279191e-05 
1.0,  54965.01086, 1.0068855043597236, 4.680709056374507e-05 
1.0,  54965.031295, 1.0071694473600579, 4.677206247635264e-05 
1.0,  54965.051729, 1.0071435809169633, 4.6734998876250786e-05 
1.0,  54965.072164, 1.007310316597025, 4.6737017855012224e-05 
1.0,  54965.092598, 1.0073775546522283, 4.686705368182807e-05 
1.0,  54965.113033, 1.0076625631736558, 4.6854309682130094e-05 
1.0,  54965.133467, 1.0078698437684264, 4.673736690502558e-05 
1.0,  54965.153901, 1.0082924147372208, 4.6903531245328565e-05 
1.0,  54965.174336, 1.0082193898002172, 4.680896992250116e-05 
1.0,  54965.19477, 1.0082989915743144, 4.688189198160615e-05 
1.0,  54965.215205, 1.0086191439207703, 4.691238976724634e-05 
1.0,  54965.235639, 1.008957299899494, 4.683841137257464e-05 
1.0,  54965.256074, 1.0089206129059856, 4.677099695525926e-05 
1.0,  54965.276508, 1.008823025870674, 4.6854557691350114e-05 
1.0,  54965.296942, 1.0088513540349153, 4.696432473502227e-05 
1.0,  54965.317377, 1.008520032088032, 4.68210580755951e-05 
1.0,  54965.337811, 1.0085715261505281, 4.678822349197079e-05 
1.0,  54965.358245999996, 1.008641372895305, 4.685771383831294e-05 
1.0,  54965.37868, 1.0087272024564826, 4.687471808527912e-05 
1.0,  54965.399114, 1.0087815256611918, 4.6919019880394676e-05 
1.0,  54965.419549, 1.0089434297542266, 4.690510197038864e-05 
1.0,  54965.439983, 1.0091009799076212, 4.676537908714964e-05 
1.0,  54965.460418, 1.009004568619723, 4.686670646892005e-05 
1.0,  54965.480852, 1.0089652913076945, 4.690191275552981e-05 
1.0,  54965.501287, 1.0085631856923143, 4.6883729086939576e-05 
1.0,  54965.521721, 1.0083994077518394, 4.682411501886992e-05 
1.0,  54965.542155, 1.0082479751592053, 4.696745332540509e-05 
1.0,  54965.56259, 1.008403394270413, 4.692914600499251e-05 
1.0,  54965.583024, 1.0082024700600962, 4.6913526935447725e-05 
1.0,  54965.603459, 1.0081530886687338, 4.6924944545094964e-05 
1.0,  54965.623892999996, 1.0079688453748445, 4.6703622954261225e-05 
1.0,  54965.644328, 1.0082358502640045, 4.6688077368929776e-05 
1.0,  54965.664762, 1.0084781828285367, 4.6727926020717106e-05 
1.0,  54965.685196, 1.0086290275474643, 4.6953201062228386e-05 
1.0,  54965.705631, 1.008570589226808, 4.687876890253932e-05 
1.0,  54965.726065, 1.0081784774644418, 4.670255743316783e-05 
1.0,  54965.7465, 1.0079721337933913, 4.6936336435267536e-05 
1.0,  54965.766934, 1.0078335241959844, 4.676998838443121e-05 
1.0,  54965.787368, 1.007731932271046, 4.675575449230783e-05 
1.0,  54965.807803, 1.0077744980016214, 4.683848669389331e-05 
1.0,  54965.828237, 1.007725943307659, 4.682883454247149e-05 
1.0,  54965.848672, 1.0076405730228148, 4.676635091587103e-05 
1.0,  54965.869106, 1.0076819630059768, 4.6666695299954036e-05 
1.0,  54965.889541, 1.0078732607843464, 4.675205272506097e-05 
1.0,  54965.909975, 1.007914522170135, 4.688085034288209e-05 
1.0,  54965.930409, 1.007895122337814, 4.689406464154543e-05 
1.0,  54965.950844, 1.0079165246149486, 4.6938349902712975e-05 
1.0,  54965.971278, 1.007883015813667, 4.671618140632052e-05 
1.0,  54965.991713, 1.0079614418403509, 4.6948321710462806e-05 
1.0,  54966.012147, 1.0079323972050294, 4.6819483676324354e-05 
1.0,  54966.032582, 1.007958153421804, 4.694390714634658e-05 
1.0,  54966.053016, 1.0078270575852109, 4.687522145214048e-05 
1.0,  54966.073449999996, 1.0078834934610537, 4.698485806133397e-05 
1.0,  54966.093885, 1.0075817856521452, 4.688672724284372e-05 
1.0,  54966.114319, 1.007511589857355, 4.692584472670835e-05 
1.0,  54966.134754, 1.0074584607711123, 4.701032401546591e-05 
1.0,  54966.155188, 1.0075867274654922, 4.662208854535314e-05 
1.0,  54966.175623, 1.0075874255655188, 4.686631149127337e-05 
1.0,  54966.196057, 1.0076424652413083, 4.692324705976688e-05 
1.0,  54966.216491, 1.0077625017037941, 4.6969780937862544e-05 
1.0,  54966.236926, 1.0076801993848568, 4.6835604275625165e-05 
1.0,  54966.25736, 1.007691258758964, 4.7009028856205846e-05 
1.0,  54966.277795, 1.0077446266689, 4.6925041911677635e-05 
1.0,  54966.298229, 1.0080650178390493, 4.699407298168643e-05 
1.0,  54966.318663, 1.0083935290147725, 4.69355538283955e-05 
1.0,  54966.339098, 1.008459021819909, 4.691343691728639e-05 
1.0,  54966.359532, 1.0085250841276991, 4.6884798282243626e-05 
1.0,  54966.379967, 1.008384821135492, 4.670185933314113e-05 
1.0,  54966.400401, 1.0081360403312396, 4.687947986230336e-05 
1.0,  54966.420836, 1.0081644970928543, 4.678155663671579e-05 
1.0,  54966.44127, 1.0084552557539757, 4.701017704703923e-05 
1.0,  54966.461704, 1.008338379112663, 4.689735306009225e-05 
1.0,  54966.482139, 1.008284294731647, 4.7062543734568523e-05 
1.0,  54966.502573, 1.008166132116601, 4.707684008827324e-05 
1.0,  54966.523008, 1.0081442705631334, 4.682599621473135e-05 
1.0,  54966.543442, 1.0081506085765337, 4.700776492773645e-05 
1.0,  54966.563877, 1.0079923603231125, 4.676510903266563e-05 
1.0,  54966.584311, 1.008066542636476, 4.689819812854563e-05 
1.0,  54966.604745, 1.008566474110861, 4.7037052060961916e-05 
1.0,  54966.62518, 1.0088528972033954, 4.70366607575259e-05 
1.0,  54966.645614, 1.0089376612434797, 4.696199528545949e-05 
1.0,  54966.666049, 1.0087076923978415, 4.70374525499246e-05 
1.0,  54966.686483, 1.0084704118729764, 4.7013764913755415e-05 
1.0,  54966.706917999996, 1.0082014045390029, 4.702295778884388e-05 
1.0,  54966.727352, 1.0079808416726719, 4.693648340369421e-05 
1.0,  54966.747786, 1.0078386864619713, 4.691175045459031e-05 
1.0,  54966.768221, 1.007872085036933, 4.696412632764627e-05 
1.0,  54966.788655, 1.0080963037428776, 4.70021176659415e-05 
1.0,  54966.80909, 1.008428452387161, 4.694337254869455e-05 
1.0,  54966.829524, 1.0082239825635506, 4.7088909870313845e-05 
1.0,  54966.849959, 1.0080559609097555, 4.69974238618146e-05 
1.0,  54966.870393, 1.0078606766128124, 4.702677529372673e-05 
1.0,  54966.890827, 1.0075355824530094, 4.6920840451780095e-05 
1.0,  54966.911262, 1.0074423493573381, 4.698370068497391e-05 
1.0,  54966.931696, 1.0074918409750206, 4.702986714200289e-05 
1.0,  54966.952131, 1.0074486873707384, 4.697166948214531e-05 
1.0,  54966.972565, 1.0078016504184495, 4.696931431310786e-05 
1.0,  54966.993, 1.0079688453748445, 4.7028518706688154e-05 
1.0,  54967.013434, 1.008287362697554, 4.701623582042887e-05 
1.0,  54967.033868, 1.0079648404852177, 4.7016050272790195e-05 
1.0,  54967.054303, 1.0077713198093947, 4.698900624517684e-05 
1.0,  54967.074737, 1.0074891404301805, 4.701906128843168e-05 
1.0,  54967.095172, 1.0071363059798428, 4.695248275404301e-05 
1.0,  54967.115606, 1.0072013211375928, 4.704558357813035e-05 
1.0,  54967.136041, 1.007456568552619, 4.7062795417999205e-05 
1.0,  54967.156474999996, 1.0079269961153492, 4.6825097870223305e-05 
1.0,  54967.176909, 1.0081741235248014, 4.701549730408484e-05 
1.0,  54967.197344, 1.0082879505712605, 4.696570991244368e-05 
1.0,  54967.217778, 1.0084339637031612, 4.6905601663039335e-05 
1.0,  54967.238213, 1.0082740620549397, 4.6995188104623816e-05 
1.0,  54967.258647, 1.0078658572498527, 4.6876795851411224e-05 
1.0,  54967.279082, 1.007905005964508, 4.688236044346617e-05 
1.0,  54967.299516, 1.0079949506416326, 4.691603458422786e-05 
1.0,  54967.31995, 1.0079722623907648, 4.6946681175400056e-05 
1.0,  54967.340385, 1.0079273451653625, 4.6855683836919495e-05 
1.0,  54967.360819, 1.008452426611762, 4.6910751069288926e-05 
1.0,  54967.401688, 1.0087002704922945, 4.688683930626906e-05 
1.0,  54967.422121999996, 1.0083457826471567, 4.702269875699186e-05 
1.0,  54967.442557, 1.0080560895071289, 4.6995871507807855e-05 
1.0,  54967.462991, 1.0077797888649818, 4.6877764005921934e-05 
1.0,  54967.483426, 1.007698901117151, 4.692883002287517e-05 
1.0,  54967.50386, 1.0078833648636802, 4.680592400185834e-05 
1.0,  54967.524295, 1.008046095654115, 4.679354926033239e-05 
1.0,  54967.544729, 1.0083951640385191, 4.678627983452802e-05 
1.0,  54967.565163, 1.0082914778135006, 4.674631544510469e-05 
1.0,  54967.585598, 1.007954975229577, 4.6702041206569143e-05 
1.0,  54967.606032, 1.007858563941679, 4.6664742456984604e-05 
1.0,  54967.626467, 1.0077840142072487, 4.6620888915570415e-05 
1.0,  54967.646901, 1.0079309826339227, 4.673110421294393e-05 
1.0,  54967.667336, 1.0082051706049364, 4.679040229889623e-05 
1.0,  54967.68777, 1.0085369701992064, 4.6845425440737655e-05 
1.0,  54967.708204, 1.008823136096994, 4.691544671052116e-05 
1.0,  54967.728639, 1.0089208517296788, 4.695704428658591e-05 
1.0,  54967.749073, 1.008534030830673, 4.690893784632483e-05 
1.0,  54967.769508, 1.0082830087579135, 4.686786568238544e-05 
1.0,  54967.789942, 1.0077694459619546, 4.668886181290715e-05 
1.0,  54967.810376, 1.0074867889353538, 4.6921962923138815e-05 
1.0,  54967.830811, 1.007634106412041, 4.695876198007266e-05 
1.0,  54967.851245, 1.0075820244758384, 4.6849942882752545e-05 
1.0,  54967.87168, 1.0080489064252751, 4.6935665891820834e-05 
1.0,  54967.892114, 1.0083483729656768, 4.697193035110266e-05 
1.0,  54967.912549, 1.0083575401212908, 4.6940043713830395e-05 
1.0,  54967.932983, 1.0083412082548766, 4.6869559493502866e-05 
1.0,  54967.953417, 1.0084163274919602, 4.6904593092211285e-05 
1.0,  54967.973852, 1.0083246191937156, 4.699543243963317e-05 
1.0,  54967.994286, 1.0083115757458483, 4.7063750712772585e-05 
1.0,  54968.014721, 1.008307111579888, 4.693690410081557e-05 
1.0,  54968.035155, 1.008057963354569, 4.689067518220525e-05 
1.0,  54968.055589999996, 1.0082255073609774, 4.6806041576599685e-05 
1.0,  54968.076024, 1.0085176805932055, 4.686556562650799e-05 
1.0,  54968.096458, 1.0087193212746022, 4.6930553227677915e-05 
1.0,  54968.116893, 1.0084909874527106, 4.6867610324744096e-05 
1.0,  54968.137327, 1.008309573301035, 4.688765314393177e-05 
1.0,  54968.157762, 1.0083814224906251, 4.700590577713902e-05 
1.0,  54968.178196, 1.008066542636476, 4.6945529310356e-05 
1.0,  54968.19863, 1.0079039404434147, 4.691479821233846e-05 
